TradeDate;ContractDate;PriceCode;OptionTypeCode;StrikePrice;SettlementPrice;HighPrice;LowPrice;Volume;Previous
04-mai-18;01-juin-18;1;1;30;39,72;;;0;38,43
04-mai-18;01-juin-18;1;1;34;35,72;;;0;34,43
04-mai-18;01-juin-18;1;1;35;34,72;;;0;33,43
04-mai-18;01-juin-18;1;1;38;31,72;;;0;30,43
04-mai-18;01-juin-18;1;1;40;29,72;;;0;28,43
04-mai-18;01-juin-18;1;1;42;27,72;;;0;26,43
04-mai-18;01-juin-18;1;1;43;26,72;;;0;25,43
04-mai-18;01-juin-18;1;1;44;25,72;;;0;24,43
04-mai-18;01-juin-18;1;1;45;24,72;;;0;23,43
04-mai-18;01-juin-18;1;1;45,5;24,22;;;0;22,93
04-mai-18;01-juin-18;1;1;46;23,72;;;0;22,43
04-mai-18;01-juin-18;1;1;46,5;23,22;;;0;21,93
04-mai-18;01-juin-18;1;1;47;22,72;;;0;21,43
04-mai-18;01-juin-18;1;1;47,5;22,22;;;0;20,93
04-mai-18;01-juin-18;1;1;48;21,72;21,82;20,21;0;20,43
04-mai-18;01-juin-18;1;1;48,5;21,22;21,34;19,71;0;19,93
04-mai-18;01-juin-18;1;1;49;20,72;20,84;19,21;0;19,43
04-mai-18;01-juin-18;1;1;49,5;20,22;20,32;18,71;0;18,93
04-mai-18;01-juin-18;1;1;50;19,72;19,83;18,21;0;18,43
04-mai-18;01-juin-18;1;1;50,5;19,22;19,34;17,71;0;17,93
04-mai-18;01-juin-18;1;1;51;18,72;18,84;17,21;0;17,43
04-mai-18;01-juin-18;1;1;51,5;18,22;18,34;16,71;0;16,93
04-mai-18;01-juin-18;1;1;52;17,72;17,84;16,22;0;16,43
04-mai-18;01-juin-18;1;1;52,5;17,22;17,34;15,71;0;15,93
04-mai-18;01-juin-18;1;1;53;16,72;16,84;15,22;0;15,43
04-mai-18;01-juin-18;1;1;53,5;16,22;16,34;14,72;0;14,93
04-mai-18;01-juin-18;1;1;54;15,72;15,84;14,22;0;14,43
04-mai-18;01-juin-18;1;1;54,5;15,22;15,36;13,72;0;13,93
04-mai-18;01-juin-18;1;1;55;14,72;14,85;13,22;0;13,43
04-mai-18;01-juin-18;1;1;55,5;14,22;14,38;12,72;0;12,93
04-mai-18;01-juin-18;1;1;56;13,72;13,85;12,17;0;12,43
04-mai-18;01-juin-18;1;1;56,5;13,22;13,38;11,67;0;11,94
04-mai-18;01-juin-18;1;1;57;12,72;12,85;11,17;0;11,44
04-mai-18;01-juin-18;1;1;57,5;12,23;12,45;10,67;56;10,94
04-mai-18;01-juin-18;1;1;58;11,73;11,95;10,24;13;10,45
04-mai-18;01-juin-18;1;1;58,5;11,23;11,45;9,74;11;9,95
04-mai-18;01-juin-18;1;1;59;10,73;10,88;9,25;2;9,46
04-mai-18;01-juin-18;1;1;59,5;10,24;10,38;8,75;0;8,96
04-mai-18;01-juin-18;1;1;60;9,74;9,93;8,26;42;8,47
04-mai-18;01-juin-18;1;1;60,5;9,24;9,44;7,77;0;7,98
04-mai-18;01-juin-18;1;1;61;8,75;8,94;7,28;2;7,49
04-mai-18;01-juin-18;1;1;61,5;8,25;8,45;6,79;0;7
04-mai-18;01-juin-18;1;1;62;7,76;7,96;6,3;0;6,52
04-mai-18;01-juin-18;1;1;62,5;7,27;7,47;5,82;0;6,03
04-mai-18;01-juin-18;1;1;63;6,78;6,98;5,34;77;5,55
04-mai-18;01-juin-18;1;1;63,5;6,3;6,5;4,86;0;5,08
04-mai-18;01-juin-18;1;1;64;5,81;6,02;4,4;7;4,61
04-mai-18;01-juin-18;1;1;64,5;5,34;5,54;3,93;3;4,16
04-mai-18;01-juin-18;1;1;65;4,86;5,07;3,49;100;3,71
04-mai-18;01-juin-18;1;1;65,5;4,4;4,6;3,07;11;3,28
04-mai-18;01-juin-18;1;1;66;3,94;4,15;2,66;82;2,87
04-mai-18;01-juin-18;1;1;66,5;3,5;3,7;2,29;34;2,48
04-mai-18;01-juin-18;1;1;67;3,08;3,28;1,93;514;2,13
