TradeDate;Contractdate;PriceCode;SettlementPrice;HighPrice;LowPrice;Volume;OpenInterest
22/10/2014;01/10/2017;4;2;0;0;0;0
23/10/2014;01/12/2014;1;82;82;80;354839;0
23/10/2014;01/01/2015;1;81;82;79;71214;0
23/10/2014;01/02/2015;1;81;81;79;27600;0
23/10/2014;01/03/2015;1;81;81;79;33721;0
23/10/2014;01/04/2015;1;81;81;78;17649;0
23/10/2014;01/05/2015;1;80;81;79;12432;0
23/10/2014;01/06/2015;1;80;81;78;38487;0
23/10/2014;01/07/2015;1;80;80;78;5128;0
23/10/2014;01/08/2015;1;80;80;78;2373;0
23/10/2014;01/09/2015;1;80;80;78;6323;0
23/10/2014;01/10/2015;1;80;80;78;1005;0
23/10/2014;01/11/2015;1;80;80;79;1368;0
23/10/2014;01/12/2015;1;80;80;78;37364;0
23/10/2014;01/01/2016;1;80;80;0;432;0
23/10/2014;01/02/2016;1;80;80;0;720;0
23/10/2014;01/03/2016;1;80;80;0;1711;0
23/10/2014;01/04/2016;1;80;80;0;284;0
23/10/2014;01/05/2016;1;80;80;0;231;0
23/10/2014;01/06/2016;1;80;80;79;4661;0
23/10/2014;01/07/2016;1;80;80;0;166;0
23/10/2014;01/08/2016;1;80;79;0;41;0
23/10/2014;01/09/2016;1;80;80;80;32;0
23/10/2014;01/10/2016;1;80;0;0;1;0
23/10/2014;01/11/2016;1;80;0;0;0;0
23/10/2014;01/12/2016;1;80;80;79;11418;0
23/10/2014;01/01/2017;1;80;0;0;44;0
23/10/2014;01/02/2017;1;80;0;0;22;0
23/10/2014;01/03/2017;1;80;0;0;0;0
23/10/2014;01/04/2017;1;80;0;0;0;0
23/10/2014;01/05/2017;1;80;0;0;0;0
23/10/2014;01/06/2017;1;80;0;0;204;0
23/10/2014;01/07/2017;1;79;0;0;0;0
23/10/2014;01/08/2017;1;79;0;0;0;0
23/10/2014;01/09/2017;1;79;0;0;0;0
23/10/2014;01/10/2017;1;79;0;0;0;0
23/10/2014;01/11/2017;1;79;0;0;0;0
23/10/2014;01/12/2017;1;80;80;79;3349;0
23/10/2014;01/01/2018;1;79;0;0;0;0
23/10/2014;01/02/2018;1;79;0;0;0;0
23/10/2014;01/03/2018;1;79;0;0;0;0
23/10/2014;01/04/2018;1;79;0;0;0;0
23/10/2014;01/05/2018;1;79;0;0;0;0
23/10/2014;01/06/2018;1;79;0;0;0;0
23/10/2014;01/07/2018;1;79;0;0;0;0
23/10/2014;01/08/2018;1;79;0;0;0;0
23/10/2014;01/09/2018;1;79;0;0;0;0
23/10/2014;01/10/2018;1;79;0;0;0;0
23/10/2014;01/11/2018;1;79;0;0;0;0
23/10/2014;01/12/2018;1;79;80;79;1161;0
23/10/2014;01/01/2019;1;79;0;0;0;0
23/10/2014;01/02/2019;1;79;0;0;0;0
23/10/2014;01/03/2019;1;79;0;0;0;0
23/10/2014;01/04/2019;1;79;0;0;0;0
23/10/2014;01/05/2019;1;79;0;0;0;0
23/10/2014;01/06/2019;1;79;0;0;0;0
23/10/2014;01/07/2019;1;79;0;0;0;0
23/10/2014;01/08/2019;1;79;0;0;0;0
23/10/2014;01/09/2019;1;79;0;0;0;0
23/10/2014;01/10/2019;1;79;0;0;0;0
23/10/2014;01/11/2019;1;79;0;0;0;0
23/10/2014;01/12/2019;1;80;80;79;149;0
23/10/2014;01/06/2020;1;80;0;0;0;0
23/10/2014;01/12/2020;1;80;80;0;28;0
23/10/2014;01/06/2021;1;80;0;0;0;0
23/10/2014;01/12/2021;1;80;0;0;1;0
23/10/2014;01/06/2022;1;80;0;0;0;0
23/10/2014;01/12/2022;1;80;0;0;0;0
23/10/2014;01/11/2014;3;2;2;2;26016;0
23/10/2014;01/12/2014;3;2;2;2;69538;0
23/10/2014;01/01/2015;3;2;2;2;26119;0
23/10/2014;01/02/2015;3;2;2;2;14111;0
23/10/2014;01/03/2015;3;2;2;2;9183;0
23/10/2014;01/04/2015;3;2;2;2;3206;0
23/10/2014;01/05/2015;3;2;2;2;1150;0
23/10/2014;01/06/2015;3;2;2;2;4165;0
23/10/2014;01/07/2015;3;2;2;2;838;0
23/10/2014;01/08/2015;3;2;2;2;295;0
23/10/2014;01/09/2015;3;2;2;2;291;0
23/10/2014;01/10/2015;3;2;2;2;183;0
23/10/2014;01/11/2015;3;2;2;2;187;0
23/10/2014;01/12/2015;3;2;2;2;706;0
23/10/2014;01/01/2016;3;2;2;2;60;0
23/10/2014;01/02/2016;3;2;2;2;57;0
23/10/2014;01/03/2016;3;2;2;2;36;0
23/10/2014;01/04/2016;3;2;2;2;10;0
23/10/2014;01/05/2016;3;2;2;0;2;0
23/10/2014;01/06/2016;3;2;2;0;127;0
23/10/2014;01/07/2016;3;2;2;0;0;0
23/10/2014;01/08/2016;3;2;2;0;0;0
23/10/2014;01/09/2016;3;2;2;0;0;0
23/10/2014;01/10/2016;3;2;2;0;0;0
23/10/2014;01/11/2016;3;2;2;0;5;0
23/10/2014;01/12/2016;3;2;2;0;104;0
23/10/2014;01/01/2017;3;2;0;0;0;0
23/10/2014;01/02/2017;3;2;0;0;0;0
23/10/2014;01/03/2017;3;2;0;0;0;0
23/10/2014;01/04/2017;3;2;2;0;0;0
23/10/2014;01/05/2017;3;2;0;0;0;0
23/10/2014;01/06/2017;3;2;0;0;0;0
23/10/2014;01/07/2017;3;2;0;0;0;0
23/10/2014;01/08/2017;3;2;2;0;0;0
23/10/2014;01/09/2017;3;2;2;0;0;0
23/10/2014;01/10/2017;3;2;2;0;0;0
23/10/2014;01/11/2017;3;2;0;0;0;0
23/10/2014;01/12/2017;3;2;0;0;24;0
23/10/2014;01/01/2018;3;2;0;0;0;0
23/10/2014;01/11/2014;4;2;2;2;33828;0
23/10/2014;01/12/2014;4;2;2;2;59280;0
23/10/2014;01/01/2015;4;2;2;2;18226;0
23/10/2014;01/02/2015;4;2;2;2;9549;0
23/10/2014;01/03/2015;4;2;2;2;5122;0
23/10/2014;01/04/2015;4;2;2;2;3481;0
23/10/2014;01/05/2015;4;2;2;2;1599;0
23/10/2014;01/06/2015;4;2;2;2;2018;0
23/10/2014;01/07/2015;4;2;2;2;713;0
23/10/2014;01/08/2015;4;2;2;2;440;0
23/10/2014;01/09/2015;4;2;2;2;308;0
23/10/2014;01/10/2015;4;2;2;2;474;0
23/10/2014;01/11/2015;4;2;2;0;873;0
23/10/2014;01/12/2015;4;2;2;2;900;0
23/10/2014;01/01/2016;4;2;2;0;1;0
23/10/2014;01/02/2016;4;2;2;0;0;0
23/10/2014;01/03/2016;4;2;2;0;0;0
23/10/2014;01/04/2016;4;2;2;0;0;0
23/10/2014;01/05/2016;4;2;2;0;0;0
23/10/2014;01/06/2016;4;2;2;0;0;0
23/10/2014;01/07/2016;4;2;0;0;0;0
23/10/2014;01/08/2016;4;2;0;0;0;0
23/10/2014;01/09/2016;4;2;0;0;0;0
23/10/2014;01/10/2016;4;2;0;0;0;0
23/10/2014;01/11/2016;4;2;0;0;0;0
23/10/2014;01/12/2016;4;2;0;0;0;0
23/10/2014;01/01/2017;4;2;0;0;0;0
23/10/2014;01/02/2017;4;2;0;0;0;0
23/10/2014;01/03/2017;4;2;0;0;0;0
23/10/2014;01/04/2017;4;2;0;0;0;0
23/10/2014;01/05/2017;4;2;0;0;0;0
23/10/2014;01/06/2017;4;2;0;0;0;0
23/10/2014;01/07/2017;4;2;0;0;0;0
23/10/2014;01/08/2017;4;2;0;0;0;0
23/10/2014;01/09/2017;4;2;0;0;0;0
