TradeDate;Contractdate;PriceCode;SettlementPrice;HighPrice;LowPrice;Volume;OpenInterest
23/03/2009;01/03/2010;4;1;0;0;0;0
23/03/2009;01/04/2010;4;1;0;0;0;0
23/03/2009;01/05/2010;4;1;0;0;0;0
23/03/2009;01/06/2010;4;1;0;0;0;0
23/03/2009;01/07/2010;4;1;0;0;0;0
23/03/2009;01/08/2010;4;1;0;0;0;0
23/03/2009;01/09/2010;4;1;0;0;0;0
23/03/2009;01/10/2010;4;1;0;0;0;0
23/03/2009;01/11/2010;4;1;0;0;0;0
23/03/2009;01/12/2010;4;1;0;0;0;0
23/03/2009;01/01/2011;4;1;0;0;0;0
23/03/2009;01/02/2011;4;1;0;0;0;0
23/03/2009;01/03/2011;4;1;0;0;0;0
23/03/2009;01/04/2011;4;1;0;0;0;0
23/03/2009;01/05/2011;4;1;0;0;0;0
23/03/2009;01/06/2011;4;1;0;0;0;0
23/03/2009;01/07/2011;4;1;0;0;0;0
23/03/2009;01/08/2011;4;1;0;0;0;0
23/03/2009;01/09/2011;4;1;0;0;0;0
23/03/2009;01/10/2011;4;1;0;0;0;0
23/03/2009;01/11/2011;4;1;0;0;0;0
23/03/2009;01/12/2011;4;1;0;0;0;0
23/03/2009;01/01/2012;4;1;0;0;0;0
23/03/2009;01/02/2012;4;1;0;0;0;0
23/03/2009;01/03/2012;4;1;0;0;0;0
23/03/2009;01/04/2009;4;1;1;1;19740;0
23/03/2009;01/05/2009;4;1;1;1;28465;0
23/03/2009;01/06/2009;4;1;1;1;9880;0
23/03/2009;01/07/2009;4;1;1;1;5539;0
24/03/2009;01/08/2009;1;58;0;0;0;0
24/03/2009;01/09/2009;1;59;0;0;0;0
24/03/2009;01/10/2009;1;59;0;0;0;0
24/03/2009;01/01/2010;1;62;0;0;0;0
24/03/2009;01/02/2010;1;63;0;0;0;0
24/03/2009;01/03/2010;1;63;0;0;0;0
24/03/2009;01/04/2010;1;64;0;0;0;0
24/03/2009;01/05/2010;1;64;0;0;0;0
24/03/2009;01/06/2010;1;65;0;0;0;0
24/03/2009;01/07/2010;1;65;0;0;0;0
24/03/2009;01/08/2010;1;66;0;0;0;0
24/03/2009;01/09/2010;1;66;0;0;0;0
24/03/2009;01/10/2010;1;67;0;0;0;0
24/03/2009;01/11/2010;1;67;0;0;0;0
24/03/2009;01/12/2010;1;68;0;0;0;0
24/03/2009;01/01/2011;1;68;0;0;0;0
24/03/2009;01/02/2011;1;68;0;0;0;0
24/03/2009;01/03/2011;1;69;0;0;0;0
24/03/2009;01/04/2011;1;69;0;0;0;0
24/03/2009;01/05/2011;1;69;0;0;0;0
24/03/2009;01/06/2011;1;70;0;0;0;0
24/03/2009;01/07/2011;1;70;0;0;0;0
24/03/2009;01/08/2011;1;70;0;0;0;0
24/03/2009;01/09/2011;1;71;0;0;0;0
