TradeDate;Contractdate;PriceCode;SettlementPrice;HighPrice;LowPrice;Volume;OpenInterest
23/02/2012;01/01/2013;3;3;3;3;256;0
23/02/2012;01/02/2013;3;3;3;3;41;0
23/02/2012;01/03/2013;3;3;0;0;0;0
23/02/2012;01/04/2013;3;3;0;0;0;0
23/02/2012;01/03/2012;4;3;3;3;24544;0
23/02/2012;01/04/2012;4;3;3;3;53184;0
23/02/2012;01/05/2012;4;3;3;3;20844;0
23/02/2012;01/06/2012;4;3;3;3;13748;0
23/02/2012;01/07/2012;4;3;3;3;7347;0
23/02/2012;01/08/2012;4;3;3;3;3584;0
23/02/2012;01/09/2012;4;3;3;3;3198;0
23/02/2012;01/10/2012;4;2;2;2;2991;0
23/02/2012;01/11/2012;4;2;2;2;1835;0
23/02/2012;01/12/2012;4;2;2;2;1385;0
23/02/2012;01/01/2013;4;2;2;2;58;0
23/02/2012;01/02/2013;4;2;0;0;14;0
23/02/2012;01/03/2013;4;2;0;0;39;0
23/02/2012;01/04/2013;4;2;2;2;57;0
23/02/2012;01/05/2013;4;2;0;0;0;0
23/02/2012;01/06/2013;4;2;0;0;0;0
23/02/2012;01/07/2013;4;2;0;0;0;0
23/02/2012;01/08/2013;4;2;0;0;0;0
23/02/2012;01/09/2013;4;2;0;0;0;0
23/02/2012;01/10/2013;4;2;0;0;0;0
23/02/2012;01/11/2013;4;2;0;0;0;0
23/02/2012;01/12/2013;4;2;0;0;26;0
23/02/2012;01/01/2014;4;2;0;0;0;0
23/02/2012;01/02/2014;4;2;0;0;0;0
23/02/2012;01/03/2014;4;2;0;0;0;0
23/02/2012;01/04/2014;4;2;0;0;0;0
23/02/2012;01/05/2014;4;2;0;0;0;0
23/02/2012;01/06/2014;4;2;0;0;0;0
23/02/2012;01/07/2014;4;2;0;0;0;0
23/02/2012;01/08/2014;4;2;0;0;0;0
23/02/2012;01/09/2014;4;2;0;0;0;0
23/02/2012;01/10/2014;4;2;0;0;0;0
23/02/2012;01/11/2014;4;2;0;0;0;0
23/02/2012;01/12/2014;4;2;0;0;0;0
23/02/2012;01/01/2015;4;2;0;0;0;0
23/02/2012;01/02/2015;4;2;0;0;0;0
24/02/2012;01/04/2012;1;109;109;107;267214;0
24/02/2012;01/05/2012;1;110;110;108;72281;0
24/02/2012;01/06/2012;1;110;110;108;115990;0
24/02/2012;01/07/2012;1;110;110;109;56395;0
24/02/2012;01/08/2012;1;110;110;109;40512;0
24/02/2012;01/09/2012;1;110;110;109;39730;0
24/02/2012;01/10/2012;1;110;110;109;23433;0
24/02/2012;01/11/2012;1;110;109;108;16979;0
24/02/2012;01/12/2012;1;109;109;108;90517;0
24/02/2012;01/01/2013;1;109;109;108;6267;0
24/02/2012;01/02/2013;1;109;109;108;2411;0
24/02/2012;01/03/2013;1;108;108;108;3617;0
24/02/2012;01/04/2013;1;108;0;0;1086;0
24/02/2012;01/05/2013;1;107;0;0;827;0
24/02/2012;01/06/2013;1;107;107;106;10748;0
24/02/2012;01/07/2013;1;106;0;0;340;0
24/02/2012;01/08/2013;1;106;0;0;284;0
24/02/2012;01/09/2013;1;105;0;0;261;0
24/02/2012;01/10/2013;1;104;0;0;177;0
24/02/2012;01/11/2013;1;104;0;0;741;0
24/02/2012;01/12/2013;1;103;104;103;31116;0
24/02/2012;01/01/2014;1;103;0;0;127;0
24/02/2012;01/02/2014;1;102;102;102;50;0
24/02/2012;01/03/2014;1;102;102;102;51;0
24/02/2012;01/04/2014;1;101;0;101;1;0
24/02/2012;01/05/2014;1;101;0;0;2;0
24/02/2012;01/06/2014;1;100;100;0;485;0
24/02/2012;01/07/2014;1;100;0;0;0;0
24/02/2012;01/08/2014;1;99;0;0;0;0
24/02/2012;01/09/2014;1;98;0;0;0;0
24/02/2012;01/10/2014;1;98;0;0;0;0
24/02/2012;01/11/2014;1;98;0;0;0;0
24/02/2012;01/12/2014;1;97;98;97;10209;0
24/02/2012;01/01/2015;1;97;0;0;0;0
24/02/2012;01/02/2015;1;96;0;0;0;0
24/02/2012;01/03/2015;1;96;0;0;0;0
24/02/2012;01/04/2015;1;96;0;0;0;0
24/02/2012;01/05/2015;1;95;0;0;0;0
24/02/2012;01/06/2015;1;95;0;0;0;0
24/02/2012;01/07/2015;1;94;0;0;0;0
24/02/2012;01/08/2015;1;94;0;0;0;0
24/02/2012;01/09/2015;1;94;0;0;0;0
24/02/2012;01/10/2015;1;93;0;0;0;0
24/02/2012;01/11/2015;1;93;0;0;0;0
24/02/2012;01/12/2015;1;93;93;92;2222;0
24/02/2012;01/01/2016;1;93;0;0;0;0
24/02/2012;01/02/2016;1;92;0;0;0;0
24/02/2012;01/03/2016;1;92;0;0;0;0
24/02/2012;01/04/2016;1;92;0;0;0;0
24/02/2012;01/05/2016;1;92;0;0;0;0
24/02/2012;01/06/2016;1;91;0;0;0;0
24/02/2012;01/07/2016;1;91;0;0;0;0
24/02/2012;01/08/2016;1;91;0;0;0;0
24/02/2012;01/09/2016;1;91;0;0;0;0
24/02/2012;01/10/2016;1;91;0;0;0;0
24/02/2012;01/11/2016;1;90;0;0;0;0
24/02/2012;01/12/2016;1;90;91;91;1696;0
24/02/2012;01/01/2017;1;90;0;0;0;0
24/02/2012;01/02/2017;1;90;0;0;0;0
24/02/2012;01/03/2017;1;90;0;0;0;0
24/02/2012;01/04/2017;1;90;0;0;0;0
24/02/2012;01/05/2017;1;89;0;0;0;0
24/02/2012;01/06/2017;1;89;0;0;0;0
24/02/2012;01/07/2017;1;89;0;0;0;0
24/02/2012;01/08/2017;1;89;0;0;0;0
24/02/2012;01/09/2017;1;89;0;0;0;0
24/02/2012;01/10/2017;1;89;0;0;0;0
24/02/2012;01/11/2017;1;89;0;0;0;0
24/02/2012;01/12/2017;1;89;89;89;957;0
24/02/2012;01/06/2018;1;88;0;0;0;0
24/02/2012;01/12/2018;1;87;0;0;594;0
24/02/2012;01/06/2019;1;87;0;0;0;0
24/02/2012;01/12/2019;1;86;0;0;37;0
24/02/2012;01/06/2020;1;86;0;0;0;0
24/02/2012;01/12/2020;1;85;86;85;39;0
24/02/2012;01/03/2012;3;3;3;3;36866;0
24/02/2012;01/04/2012;3;3;3;3;62664;0
24/02/2012;01/05/2012;3;3;3;3;19167;0
24/02/2012;01/06/2012;3;3;3;3;19286;0
24/02/2012;01/07/2012;3;3;3;3;3780;0
24/02/2012;01/08/2012;3;3;3;3;2476;0
24/02/2012;01/09/2012;3;3;3;3;1868;0
24/02/2012;01/10/2012;3;3;3;3;585;0
24/02/2012;01/11/2012;3;3;3;3;563;0
24/02/2012;01/12/2012;3;3;3;3;2087;0
24/02/2012;01/01/2013;3;3;3;3;193;0
24/02/2012;01/02/2013;3;3;3;3;109;0
24/02/2012;01/03/2013;3;3;3;3;47;0
24/02/2012;01/04/2013;3;3;0;0;24;0
24/02/2012;01/03/2012;4;3;3;3;21376;0
24/02/2012;01/04/2012;4;3;3;3;50965;0
24/02/2012;01/05/2012;4;3;3;3;17654;0
24/02/2012;01/06/2012;4;3;3;3;11001;0
24/02/2012;01/07/2012;4;3;3;3;4001;0
24/02/2012;01/08/2012;4;3;3;3;2820;0
24/02/2012;01/09/2012;4;3;3;3;2372;0
24/02/2012;01/10/2012;4;2;2;2;2527;0
24/02/2012;01/11/2012;4;2;2;2;1482;0
24/02/2012;01/12/2012;4;2;2;2;1705;0
24/02/2012;01/01/2013;4;2;2;2;290;0
24/02/2012;01/02/2013;4;2;0;0;42;0
24/02/2012;01/03/2013;4;2;0;0;471;0
24/02/2012;01/04/2013;4;3;0;0;470;0
24/02/2012;01/05/2013;4;2;0;0;25;0
24/02/2012;01/06/2013;4;2;0;0;0;0
24/02/2012;01/07/2013;4;2;0;0;0;0
24/02/2012;01/08/2013;4;2;0;0;0;0
24/02/2012;01/09/2013;4;2;0;0;0;0
24/02/2012;01/10/2013;4;2;0;0;0;0
24/02/2012;01/11/2013;4;2;0;0;0;0
24/02/2012;01/12/2013;4;2;0;0;50;0
24/02/2012;01/01/2014;4;2;0;0;0;0
24/02/2012;01/02/2014;4;2;0;0;0;0
24/02/2012;01/03/2014;4;2;0;0;0;0
24/02/2012;01/04/2014;4;2;0;0;0;0
24/02/2012;01/05/2014;4;2;0;0;0;0
24/02/2012;01/06/2014;4;2;0;0;0;0
24/02/2012;01/07/2014;4;2;0;0;0;0
24/02/2012;01/08/2014;4;2;0;0;0;0
24/02/2012;01/09/2014;4;2;0;0;0;0
24/02/2012;01/10/2014;4;2;0;0;0;0
24/02/2012;01/11/2014;4;2;0;0;0;0
24/02/2012;01/12/2014;4;2;0;0;0;0
24/02/2012;01/01/2015;4;2;0;0;0;0
24/02/2012;01/02/2015;4;2;0;0;0;0
27/02/2012;01/04/2012;1;108;109;107;277868;0
27/02/2012;01/05/2012;1;109;110;107;69728;0
27/02/2012;01/06/2012;1;109;110;108;89095;0
27/02/2012;01/07/2012;1;109;110;108;28178;0
27/02/2012;01/08/2012;1;109;110;109;19163;0
27/02/2012;01/09/2012;1;109;110;108;21714;0
27/02/2012;01/10/2012;1;109;110;108;12251;0
27/02/2012;01/11/2012;1;109;109;108;9442;0
27/02/2012;01/12/2012;1;109;109;108;82647;0
27/02/2012;01/01/2013;1;108;109;108;10151;0
27/02/2012;01/02/2013;1;108;108;108;3951;0
27/02/2012;01/03/2013;1;108;108;107;7233;0
27/02/2012;01/04/2013;1;107;106;106;2159;0
27/02/2012;01/05/2013;1;107;0;0;1251;0
27/02/2012;01/06/2013;1;106;107;105;15725;0
