TradeDate;Contractdate;PriceCode;SettlementPrice;HighPrice;LowPrice;Volume;OpenInterest
26/04/2017;01/09/2019;4;1;0;0;0;0
26/04/2017;01/10/2019;4;1;0;0;0;0
26/04/2017;01/11/2019;4;1;0;0;0;0
26/04/2017;01/12/2019;4;1;0;0;0;0
26/04/2017;01/01/2020;4;1;0;0;0;0
26/04/2017;01/02/2020;4;1;0;0;0;0
26/04/2017;01/03/2020;4;1;0;0;0;0
26/04/2017;01/04/2020;4;1;0;0;0;0
26/04/2017;01/05/2020;4;1;0;0;0;0
26/04/2017;01/06/2020;4;1;0;0;0;0
26/04/2017;01/07/2020;4;1;0;0;0;0
26/04/2017;01/08/2020;4;1;0;0;0;0
26/04/2017;01/09/2020;4;1;0;0;0;0
26/04/2017;01/10/2020;4;1;0;0;0;0
26/04/2017;01/11/2020;4;1;0;0;0;0
26/04/2017;01/12/2020;4;1;0;0;0;0
26/04/2017;01/01/2021;4;1;0;0;0;0
27/04/2017;01/06/2017;1;48;49;48;763445;0
27/04/2017;01/07/2017;1;49;49;48;248100;0
27/04/2017;01/08/2017;1;49;50;48;99533;0
27/04/2017;01/09/2017;1;49;50;49;73627;0
27/04/2017;01/10/2017;1;50;50;49;28609;0
27/04/2017;01/11/2017;1;50;50;49;13882;0
27/04/2017;01/12/2017;1;50;50;49;76586;0
27/04/2017;01/01/2018;1;50;50;49;5388;0
27/04/2017;01/02/2018;1;50;50;49;4399;0
27/04/2017;01/03/2018;1;50;50;49;5763;0
27/04/2017;01/04/2018;1;50;50;49;3331;0
27/04/2017;01/05/2018;1;50;50;50;1655;0
27/04/2017;01/06/2018;1;50;50;49;19334;0
27/04/2017;01/07/2018;1;50;0;50;3152;0
27/04/2017;01/08/2018;1;50;0;50;3754;0
27/04/2017;01/09/2018;1;50;0;50;7204;0
27/04/2017;01/10/2018;1;50;49;49;1539;0
27/04/2017;01/11/2018;1;50;0;50;1038;0
27/04/2017;01/12/2018;1;50;50;49;27501;0
27/04/2017;01/01/2019;1;50;0;50;96;0
27/04/2017;01/02/2019;1;50;0;50;74;0
27/04/2017;01/03/2019;1;50;0;50;600;0
27/04/2017;01/04/2019;1;50;0;49;12;0
27/04/2017;01/05/2019;1;50;0;49;13;0
27/04/2017;01/06/2019;1;50;50;49;1128;0
27/04/2017;01/07/2019;1;50;0;0;6;0
27/04/2017;01/08/2019;1;50;0;0;6;0
27/04/2017;01/09/2019;1;50;0;0;300;0
27/04/2017;01/10/2019;1;50;0;0;10;0
27/04/2017;01/11/2019;1;50;0;0;20;0
27/04/2017;01/12/2019;1;50;50;49;4296;0
27/04/2017;01/01/2020;1;50;0;0;0;0
27/04/2017;01/02/2020;1;50;0;0;0;0
27/04/2017;01/03/2020;1;50;0;0;0;0
27/04/2017;01/04/2020;1;50;0;0;0;0
27/04/2017;01/05/2020;1;50;0;0;0;0
27/04/2017;01/06/2020;1;50;0;0;0;0
27/04/2017;01/07/2020;1;50;0;0;0;0
27/04/2017;01/08/2020;1;50;0;0;0;0
27/04/2017;01/09/2020;1;50;0;0;0;0
27/04/2017;01/10/2020;1;50;0;0;0;0
27/04/2017;01/11/2020;1;50;0;0;0;0
27/04/2017;01/12/2020;1;50;51;50;1014;0
27/04/2017;01/01/2021;1;50;0;0;0;0
27/04/2017;01/02/2021;1;50;0;0;0;0
27/04/2017;01/03/2021;1;50;0;0;0;0
27/04/2017;01/04/2021;1;50;0;0;0;0
27/04/2017;01/05/2021;1;50;0;0;0;0
27/04/2017;01/06/2021;1;51;0;0;0;0
27/04/2017;01/07/2021;1;51;0;0;0;0
27/04/2017;01/08/2021;1;51;0;0;0;0
27/04/2017;01/09/2021;1;51;0;0;0;0
27/04/2017;01/10/2021;1;51;0;0;0;0
27/04/2017;01/11/2021;1;51;0;0;0;0
27/04/2017;01/12/2021;1;51;51;51;197;0
27/04/2017;01/01/2022;1;51;0;0;0;0
27/04/2017;01/02/2022;1;51;0;0;0;0
27/04/2017;01/03/2022;1;51;0;0;0;0
27/04/2017;01/04/2022;1;51;0;0;0;0
27/04/2017;01/05/2022;1;51;0;0;0;0
27/04/2017;01/06/2022;1;52;0;0;0;0
27/04/2017;01/07/2022;1;52;0;0;0;0
27/04/2017;01/08/2022;1;52;0;0;0;0
27/04/2017;01/09/2022;1;52;0;0;0;0
27/04/2017;01/10/2022;1;52;0;0;0;0
27/04/2017;01/11/2022;1;52;0;0;0;0
27/04/2017;01/12/2022;1;52;0;53;20;0
27/04/2017;01/06/2023;1;53;0;0;0;0
27/04/2017;01/12/2023;1;53;0;0;2;0
27/04/2017;01/06/2024;1;53;0;0;0;0
27/04/2017;01/12/2024;1;54;0;0;0;0
27/04/2017;01/06/2025;1;54;0;0;0;0
27/04/2017;01/12/2025;1;54;0;0;0;0
27/04/2017;01/05/2017;3;1;1;1;15961;0
27/04/2017;01/06/2017;3;1;1;1;82836;0
27/04/2017;01/07/2017;3;1;1;1;32087;0
27/04/2017;01/08/2017;3;1;1;1;17685;0
27/04/2017;01/09/2017;3;1;1;1;12390;0
27/04/2017;01/10/2017;3;1;1;1;4819;0
27/04/2017;01/11/2017;3;1;1;1;2472;0
27/04/2017;01/12/2017;3;1;1;1;17980;0
27/04/2017;01/01/2018;3;1;1;1;1027;0
27/04/2017;01/02/2018;3;1;1;1;501;0
27/04/2017;01/03/2018;3;1;1;1;935;0
27/04/2017;01/04/2018;3;1;1;1;164;0
27/04/2017;01/05/2018;3;1;1;1;137;0
27/04/2017;01/06/2018;3;1;1;1;1685;0
27/04/2017;01/07/2018;3;1;1;1;105;0
27/04/2017;01/08/2018;3;1;1;1;48;0
27/04/2017;01/09/2018;3;1;1;1;15;0
27/04/2017;01/10/2018;3;1;1;1;6;0
27/04/2017;01/11/2018;3;1;1;1;7;0
27/04/2017;01/12/2018;3;1;1;1;237;0
27/04/2017;01/01/2019;3;1;0;1;0;0
27/04/2017;01/02/2019;3;1;0;1;0;0
27/04/2017;01/03/2019;3;1;0;1;0;0
27/04/2017;01/04/2019;3;1;0;0;0;0
27/04/2017;01/05/2019;3;1;0;0;0;0
27/04/2017;01/06/2019;3;1;1;1;11;0
27/04/2017;01/07/2019;3;1;0;0;0;0
27/04/2017;01/08/2019;3;1;0;0;0;0
27/04/2017;01/09/2019;3;1;0;0;0;0
27/04/2017;01/10/2019;3;1;0;0;0;0
27/04/2017;01/11/2019;3;1;0;0;0;0
27/04/2017;01/12/2019;3;1;1;1;1;0
27/04/2017;01/01/2020;3;1;1;1;1;0
27/04/2017;01/02/2020;3;1;1;1;1;0
27/04/2017;01/03/2020;3;1;0;0;0;0
27/04/2017;01/04/2020;3;1;0;0;0;0
27/04/2017;01/05/2020;3;1;0;0;0;0
27/04/2017;01/06/2020;3;1;0;0;0;0
27/04/2017;01/07/2020;3;1;0;0;0;0
27/04/2017;01/08/2020;3;1;0;0;0;0
27/04/2017;01/09/2020;3;1;0;0;0;0
27/04/2017;01/10/2020;3;1;0;0;0;0
27/04/2017;01/11/2020;3;1;0;0;0;0
27/04/2017;01/12/2020;3;1;0;0;0;0
27/04/2017;01/01/2021;3;1;0;0;0;0
27/04/2017;01/05/2017;4;1;1;1;18615;0
27/04/2017;01/06/2017;4;1;1;1;93121;0
27/04/2017;01/07/2017;4;1;1;1;52082;0
27/04/2017;01/08/2017;4;1;1;1;31332;0
27/04/2017;01/09/2017;4;1;1;1;25266;0
27/04/2017;01/10/2017;4;1;1;1;11691;0
27/04/2017;01/11/2017;4;1;1;1;5648;0
27/04/2017;01/12/2017;4;1;1;1;10958;0
27/04/2017;01/01/2018;4;1;1;1;566;0
27/04/2017;01/02/2018;4;1;1;1;336;0
27/04/2017;01/03/2018;4;1;1;1;329;0
27/04/2017;01/04/2018;4;1;1;1;84;0
27/04/2017;01/05/2018;4;1;1;1;84;0
27/04/2017;01/06/2018;4;1;1;1;1298;0
27/04/2017;01/07/2018;4;1;1;1;218;0
27/04/2017;01/08/2018;4;1;1;1;83;0
27/04/2017;01/09/2018;4;1;1;1;56;0
27/04/2017;01/10/2018;4;1;1;1;27;0
27/04/2017;01/11/2018;4;1;1;1;32;0
27/04/2017;01/12/2018;4;1;1;1;453;0
27/04/2017;01/01/2019;4;1;1;1;3;0
27/04/2017;01/02/2019;4;1;0;1;0;0
27/04/2017;01/03/2019;4;1;0;0;0;0
27/04/2017;01/04/2019;4;1;0;0;0;0
27/04/2017;01/05/2019;4;1;0;0;0;0
27/04/2017;01/06/2019;4;1;0;0;0;0
27/04/2017;01/07/2019;4;1;0;0;0;0
27/04/2017;01/08/2019;4;1;0;0;0;0
27/04/2017;01/09/2019;4;1;0;0;0;0
27/04/2017;01/10/2019;4;1;0;0;0;0
27/04/2017;01/11/2019;4;1;0;0;0;0
27/04/2017;01/12/2019;4;1;0;0;10;0
27/04/2017;01/01/2020;4;1;0;0;0;0
27/04/2017;01/02/2020;4;1;0;0;0;0
27/04/2017;01/03/2020;4;1;0;0;0;0
27/04/2017;01/04/2020;4;1;0;0;0;0
27/04/2017;01/05/2020;4;1;0;0;0;0
27/04/2017;01/06/2020;4;1;0;0;0;0
27/04/2017;01/07/2020;4;1;0;0;0;0
27/04/2017;01/08/2020;4;1;0;0;0;0
27/04/2017;01/09/2020;4;1;0;0;0;0
27/04/2017;01/10/2020;4;1;0;0;0;0
27/04/2017;01/11/2020;4;1;0;0;0;0
27/04/2017;01/12/2020;4;1;0;0;0;0
27/04/2017;01/01/2021;4;1;0;0;0;0
28/04/2017;01/06/2017;1;49;49;48;629561;0
28/04/2017;01/07/2017;1;49;50;49;171568;0
28/04/2017;01/08/2017;1;49;50;49;51981;0
28/04/2017;01/09/2017;1;50;50;49;34407;0
28/04/2017;01/10/2017;1;50;50;49;19875;0
28/04/2017;01/11/2017;1;50;50;50;14697;0
28/04/2017;01/12/2017;1;50;51;50;73880;0
28/04/2017;01/01/2018;1;50;51;50;13355;0
28/04/2017;01/02/2018;1;50;51;50;7952;0
28/04/2017;01/03/2018;1;50;51;50;7898;0
28/04/2017;01/04/2018;1;50;51;50;3315;0
28/04/2017;01/05/2018;1;50;50;50;2512;0
28/04/2017;01/06/2018;1;50;51;50;12694;0
28/04/2017;01/07/2018;1;50;50;50;1042;0
28/04/2017;01/08/2018;1;50;0;0;1543;0
28/04/2017;01/09/2018;1;50;50;0;2833;0
28/04/2017;01/10/2018;1;50;0;0;958;0
28/04/2017;01/11/2018;1;50;0;0;519;0
28/04/2017;01/12/2018;1;50;50;50;21890;0
28/04/2017;01/01/2019;1;50;0;0;20;0
28/04/2017;01/02/2019;1;50;0;0;20;0
28/04/2017;01/03/2019;1;50;0;0;146;0
28/04/2017;01/04/2019;1;50;50;0;76;0
28/04/2017;01/05/2019;1;50;50;0;31;0
28/04/2017;01/06/2019;1;50;50;50;765;0
28/04/2017;01/07/2019;1;50;0;0;0;0
28/04/2017;01/08/2019;1;50;0;0;2;0
28/04/2017;01/09/2019;1;50;0;0;0;0
28/04/2017;01/10/2019;1;50;0;0;0;0
28/04/2017;01/11/2019;1;50;0;0;0;0
28/04/2017;01/12/2019;1;50;50;50;2263;0
28/04/2017;01/01/2020;1;50;0;0;10;0
28/04/2017;01/02/2020;1;50;0;0;10;0
28/04/2017;01/03/2020;1;50;0;0;0;0
28/04/2017;01/04/2020;1;50;0;0;0;0
28/04/2017;01/05/2020;1;50;0;0;5;0
28/04/2017;01/06/2020;1;50;0;0;7;0
28/04/2017;01/07/2020;1;50;0;0;0;0
28/04/2017;01/08/2020;1;50;0;0;0;0
28/04/2017;01/09/2020;1;50;0;0;0;0
28/04/2017;01/10/2020;1;50;0;0;0;0
28/04/2017;01/11/2020;1;50;0;0;0;0
28/04/2017;01/12/2020;1;50;51;50;149;0
28/04/2017;01/01/2021;1;50;0;0;0;0
28/04/2017;01/02/2021;1;50;0;0;0;0
28/04/2017;01/03/2021;1;50;0;0;0;0
28/04/2017;01/04/2021;1;50;0;0;0;0
28/04/2017;01/05/2021;1;51;0;0;0;0
28/04/2017;01/06/2021;1;51;0;0;0;0
28/04/2017;01/07/2021;1;51;0;0;0;0
28/04/2017;01/08/2021;1;51;0;0;0;0
28/04/2017;01/09/2021;1;51;0;0;0;0
28/04/2017;01/10/2021;1;51;0;0;0;0
28/04/2017;01/11/2021;1;51;0;0;0;0
28/04/2017;01/12/2021;1;51;52;51;25;0
28/04/2017;01/01/2022;1;51;0;0;0;0
28/04/2017;01/02/2022;1;51;0;0;0;0
28/04/2017;01/03/2022;1;51;0;0;0;0
28/04/2017;01/04/2022;1;51;0;0;0;0
28/04/2017;01/05/2022;1;52;0;0;0;0
28/04/2017;01/06/2022;1;52;0;0;0;0
28/04/2017;01/07/2022;1;52;0;0;0;0
28/04/2017;01/08/2022;1;52;0;0;0;0
